Price Commencement Date,Premium Motor Spirit (PMS)/Super Petrol (KES/Litre),Automotive Gas Oil (AGO)/Diesel (KES/Litre), Illuminating Kerosene (IK)/Kerosene (KES/Litre),Mean Exchange Rate,Murban Crude Oil Prices ($ per barrel),Murban Crude Oil Prices (KES/Litre)
15/12/2010,94.03,87.45,75.83,80.57,89.15,45.18
15/01/2011,95.67,88.71,77.51,81.03,89.17,45.45
15/02/2011,98.08,91.72,79.52,81.47,88.58,45.39
15/03/2011,102.44,94.53,83.97,84.21,102.86,54.48
15/04/2011,111.17,107.52,90.91,83.89,109.53,57.79
15/05/2011,115.35,108.02,92.61,85.43,100.9,54.22
15/06/2011,114.93,106.3,85.71,89.05,96.26,53.92
15/07/2011,115.39,106.12,86.16,89.9,97.3,55.02
15/08/2011,117.22,108.97,88.96,92.79,86.33,50.38
15/09/2011,117.75,108.77,88.29,96.36,85.52,51.83
15/10/2011,120.5,110.94,89.95,101.27,86.32,54.98
15/11/2011,124.13,114.3,94.87,93.68,97.16,57.25
15/12/2011,119.06,110.98,90.74,86.66,98.56,53.72
15/01/2012,111.95,107.9,87.11,86.34,100.27,54.45
15/02/2012,111.32,105.29,83.74,83.18,102.2,53.47
15/03/2012,111.69,105.12,84.13,83,106.16,55.42
15/04/2012,118.5,108.8,86.28,83.19,103.32,54.06
15/05/2012,121.43,108.44,87,84.46,94.66,50.29
15/06/2012,117.67,105.51,83.2,84.79,82.3,43.89
15/07/2012,108.46,97.51,74.4,84.14,87.9,46.52
15/08/2012,106.48,97.08,73.97,84.08,94.13,49.78
15/09/2012,108.95,101.07,79.65,84.61,94.51,50.3
15/10/2012,115.26,106.11,86.01,85.11,89.49,47.91
15/11/2012,113.68,105.85,84.57,85.63,86.53,46.6
15/12/2012,112.61,105.79,86.44,85.99,87.86,47.52
15/01/2013,111.6,103.99,83.86,86.9,94.76,51.79
15/02/2013,113.57,106.2,85.93,87.45,95.31,52.42
15/03/2013,117.69,107.37,88.54,85.82,92.94,50.17
